table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	organizations	6	fabric_org_name	character varying	varchar	YES		150
blockchain	organizations	7	external_system_code	character varying	varchar	YES		100
blockchain	organizations	8	external_organization_id	character varying	varchar	YES		150
blockchain	organizations	9	country_code	character varying	varchar	YES		10
blockchain	organizations	10	registration_number	character varying	varchar	YES		150
blockchain	organizations	11	tax_number	character varying	varchar	YES		150
blockchain	organizations	12	status	character varying	varchar	NO	'ACTIVE'::character varying	30
blockchain	organizations	13	metadata	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	organizations	14	api_payload	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	organizations	15	blockchain_payload	jsonb	jsonb	NO	'{}'::jsonb	
blockchain	organizations	16	created_by	character varying	varchar	YES	CURRENT_USER	150
blockchain	organizations	17	updated_by	character varying	varchar	YES		150
blockchain	organizations	18	created_at	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP	
blockchain	organizations	19	updated_at	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP	
blockchain	ref_wallet_statuses	1	wallet_status_id	bigint	int8	NO	nextval('blockchain.ref_wallet_statuses_wallet_status_id_seq'::regclass)	
blockchain	ref_wallet_statuses	2	wallet_status_code	character varying	varchar	NO		100
blockchain	ref_wallet_statuses	3	wallet_status_name	character varying	varchar	NO		150
blockchain	ref_wallet_statuses	4	description	text	text	YES		
blockchain	ref_wallet_statuses	5	is_active	boolean	bool	NO	true	
blockchain	ref_wallet_statuses	6	display_order	integer	int4	NO	1	
blockchain	ref_wallet_statuses	7	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	resident_kyc	1	id	bigint	int8	NO	nextval('blockchain.resident_kyc_id_seq'::regclass)	
blockchain	resident_kyc	2	resident_id	character varying	varchar	NO		80
blockchain	resident_kyc	3	kyc_status	character varying	varchar	NO	'Draft'::character varying	50
blockchain	resident_kyc	4	risk_category	character varying	varchar	NO	'Low'::character varying	50
blockchain	resident_kyc	5	submitted_at	timestamp without time zone	timestamp	YES		
blockchain	resident_kyc	6	reviewed_at	timestamp without time zone	timestamp	YES		
blockchain	resident_kyc	7	reviewed_by	character varying	varchar	YES		150
blockchain	resident_kyc	8	rejection_reason	text	text	YES		
blockchain	resident_kyc	9	created_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	resident_kyc	10	updated_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	resident_wallets	1	id	bigint	int8	NO	nextval('blockchain.resident_wallets_id_seq'::regclass)	
blockchain	resident_wallets	2	resident_id	character varying	varchar	NO		80
blockchain	resident_wallets	3	wallet_address	character varying	varchar	NO		200
blockchain	resident_wallets	4	wallet_currency	character varying	varchar	YES	'GOV'::character varying	20
blockchain	resident_wallets	5	wallet_status	character varying	varchar	YES	'Active'::character varying	50
blockchain	resident_wallets	6	blockchain_status	character varying	varchar	YES	'PENDING'::character varying	50
blockchain	resident_wallets	7	fabric_tx_id	character varying	varchar	YES		200
blockchain	resident_wallets	8	created_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	resident_wallets	9	updated_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	resident_wallets	10	wallet_password_hash	character varying	varchar	YES		255
blockchain	resident_wallets	11	wallet_password_salt	character varying	varchar	YES		255
blockchain	resident_wallets	12	wallet_password_updated_at	timestamp without time zone	timestamp	YES		
blockchain	resident_wallets	13	last_login_at	timestamp without time zone	timestamp	YES		
blockchain	resident_wallets	14	wallet_balance	numeric	numeric	NO	0	
blockchain	valoores_customer_kyc	1	source_system	text	text	YES		
blockchain	valoores_customer_kyc	2	source_entity	text	text	YES		
blockchain	valoores_customer_kyc	3	source_record_id	text	text	YES		
blockchain	valoores_customer_kyc	4	business_reference	text	text	YES		
blockchain	valoores_customer_kyc	5	record_type	text	text	YES		
blockchain	valoores_customer_kyc	6	record_status	text	text	YES		
blockchain	valoores_customer_kyc	7	standardized_event_timestamp	text	text	YES		
blockchain	valoores_customer_kyc	8	proof_version	text	text	YES		
blockchain	valoores_customer_kyc	9	hash_input	text	text	YES		
blockchain	valoores_customer_kyc	10	source_module	text	text	YES		
blockchain	valoores_customer_kyc	11	customer_id	text	text	YES		
blockchain	valoores_customer_kyc	12	customer_def_id	text	text	YES		
blockchain	valoores_customer_kyc	13	object_id	text	text	YES		
blockchain	valoores_customer_kyc	14	object_pk_value	text	text	YES		
blockchain	valoores_customer_kyc	15	customer_status_code	text	text	YES		
blockchain	valoores_customer_kyc	16	customer_status_date	text	text	YES		
blockchain	valoores_customer_kyc	17	party_id	text	text	YES		
blockchain	valoores_customer_kyc	18	party_type_code	text	text	YES		
blockchain	valoores_customer_kyc	19	party_sub_type_code	text	text	YES		
blockchain	valoores_customer_kyc	20	customer_nature_code	text	text	YES		
blockchain	valoores_customer_kyc	21	is_valid_flag	text	text	YES		
blockchain	valoores_customer_kyc	22	is_displayed_flag	text	text	YES		
blockchain	valoores_customer_kyc	23	data_source_code	text	text	YES		
blockchain	valoores_customer_kyc	24	business_group_id	text	text	YES		
blockchain	valoores_customer_kyc	25	currency_id	text	text	YES		
blockchain	valoores_customer_kyc	26	language_id	text	text	YES		
blockchain	valoores_customer_kyc	27	society_id	text	text	YES		
blockchain	valoores_customer_kyc	28	customer_profile_fingerprint	text	text	YES		
blockchain	valoores_customer_kyc	29	kyc_object_fingerprint	text	text	YES		
blockchain	valoores_customer_kyc	30	customer_creation_date	text	text	YES		
blockchain	valoores_customer_kyc	31	customer_update_date	text	text	YES		
blockchain	valoores_customer_kyc	32	last_update_date	text	text	YES		
blockchain	valoores_customer_kyc	33	last_extraction_date	text	text	YES		
blockchain	valoores_customer_kyc	34	kyc_creation_date	text	text	YES		
blockchain	valoores_customer_kyc	35	kyc_update_date	text	text	YES		
blockchain	valoores_customer_kyc	36	hash_md5	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	1	source_module	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	2	source_record_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	3	customer_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	4	customer_def_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	5	object_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	6	object_pk_value	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	7	customer_status_code	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	8	customer_status_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	9	party_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	10	party_type_code	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	11	party_sub_type_code	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	12	customer_nature_code	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	13	is_valid_flag	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	14	is_displayed_flag	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	15	data_source_code	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	16	business_group_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	17	currency_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	18	language_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	19	society_id	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	20	customer_profile_fingerprint	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	21	kyc_object_fingerprint	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	22	customer_creation_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	23	customer_update_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	24	last_update_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	25	last_extraction_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	26	kyc_creation_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	27	kyc_update_date	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	28	hash_input	text	text	YES		
blockchain	valoores_customer_kyc_legacy_20260703	29	hash_md5	text	text	YES		
blockchain	vw_blockchain_customer_wallet	1	mapping_id	uuid	uuid	YES		
blockchain	vw_blockchain_customer_wallet	2	blockchain_customer_id	character varying	varchar	YES		100
blockchain	vw_blockchain_customer_wallet	3	source_customer_id	character varying	varchar	YES		100
blockchain	vw_blockchain_customer_wallet	4	wallet_address	character varying	varchar	YES		150
blockchain	vw_blockchain_customer_wallet	5	mapping_status	character varying	varchar	YES		30
blockchain	vw_blockchain_customer_wallet	6	customer_name	character varying	varchar	YES		255
blockchain	vw_blockchain_customer_wallet	7	blockchain_organization_id	character varying	varchar	YES		100
blockchain	vw_blockchain_customer_wallet	8	wallet_status	character varying	varchar	YES		30
blockchain	vw_blockchain_customer_wallet	9	current_balance	numeric	numeric	YES		
blockchain	vw_blockchain_customer_wallet	10	currency_code	character varying	varchar	YES		10
blockchain	vw_blockchain_customer_wallet	11	fabric_channel_name	character varying	varchar	YES		100
blockchain	vw_blockchain_customer_wallet	12	chaincode_name	character varying	varchar	YES		100
blockchain	vw_blockchain_customer_wallet	13	fabric_tx_id	character varying	varchar	YES		150
blockchain	vw_blockchain_customer_wallet	14	created_on_blockchain_at	timestamp without time zone	timestamp	YES		
blockchain	vw_blockchain_customer_wallet	15	synced_to_postgres_at	timestamp without time zone	timestamp	YES		
blockchain	wallet_statuses	1	wallet_status_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	wallet_statuses	2	wallet_status_code	character varying	varchar	NO		80
blockchain	wallet_statuses	3	wallet_status_name	character varying	varchar	NO		150
blockchain	wallet_statuses	4	wallet_status_description	text	text	YES		
blockchain	wallet_statuses	5	is_active	boolean	bool	NO	true	
blockchain	wallet_statuses	6	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	wallet_statuses	7	updated_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	wallet_types	1	wallet_type_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	wallet_types	2	wallet_type_code	character varying	varchar	NO		80
blockchain	wallet_types	3	wallet_type_name	character varying	varchar	NO		150
blockchain	wallet_types	4	wallet_type_description	text	text	YES		
blockchain	wallet_types	5	is_active	boolean	bool	NO	true	
blockchain	wallet_types	6	created_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	wallet_types	7	updated_at	timestamp without time zone	timestamp	NO	CURRENT_TIMESTAMP	
blockchain	wallets	1	wallet_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	wallets	2	wallet_address	character varying	varchar	NO		100
blockchain	wallets	3	customer_id	character varying	varchar	NO		150
blockchain	wallets	4	organization_id	uuid	uuid	YES		
blockchain	wallets	5	organization_code	character varying	varchar	YES		100
blockchain	wallets	6	wallet_type	character varying	varchar	NO	'CUSTOMER'::character varying	50
blockchain	wallets	7	full_name	character varying	varchar	YES		255
blockchain	wallets	8	national_id_hash	character varying	varchar	YES		255
blockchain	wallets	9	mobile_hash	character varying	varchar	YES		255
blockchain	wallets	10	email_hash	character varying	varchar	YES		255
blockchain	wallets	11	password_hash_reference	character varying	varchar	YES		255
blockchain	wallets	12	ledger_doc_type	character varying	varchar	YES	'wallet'::character varying	100
blockchain	wallets	13	ledger_key	character varying	varchar	YES		255
blockchain	wallets	14	fabric_tx_id	character varying	varchar	YES		255
blockchain	wallets	15	fabric_channel_name	character varying	varchar	YES		150
